PPN; EPN; Jahr; Titel+Zusatz; Verfasser; Ort+Verlag; Umfang; Basisklassifikation; Schlagwort; ExKommentar4802; Schlagwort6800; Abrufzeichen8600; Signatur; Standort; URL1741005566; 3812148854; 1929; Map of the Antarctic; nan; New York : American Geographical Society of New York; 1 map on 4 sheets; nan; nan; nan; nan; nan; Kart. R 26856<1929>; 1:KTA; nan
1744279527; 3833918969; 1928; List of maps, plans, reports and other publications of the Mines Department of Victoria; nan; [Melbourne] : [Mines Dept. of Victoria]; 27 Seiten; nan; nan; nan; nan; nan; 4'@Kart. R 27977<1928>; 1:KTA; nan
1741005388; 3812148196; 1928; Map of the Antarctic; nan; New York : The Society; 1 map on 4 sheets; nan; nan; nan; nan; nan; Kart. R 26856; 1:KTA; nan
1741005388; 381214820X; 1928; Map of the Antarctic; nan; New York : The Society; 1 map on 4 sheets; nan; nan; nan; nan; nan; 8'@Kart. R 26856; 1:KTA; nan
133758066X; 3516232455; 1928; Navigational chart of the Antarctic; nan; New York, NY : American Geographical Society; 1 Kt.; nan; nan; nan; nan; nan; Kart. R 26858; 1:KTA; nan
1179542533; 448519542; 1928; The 'Norvegia'-Expedition and Bouvet Island; Aagaard, Bjarne; Oslo : Norges Handels og Sjøfartstidendes Tr.; 36 Seiten; nan; nan; nan; nan; nan; 8'@Kart. R 27700; 1:KTA; nan
1744279519; 3833918950; 1920; List of maps, plans, reports and other publications of the Mines Department of Victoria; nan; [Melbourne] : [Mines Dept. of Victoria]; 25 Seiten; nan; nan; nan; nan; nan; 4'@Kart. R 27977<1920>; 1:KTA; nan
46818130X; 3591629286; 1920; Der sogenannte 'Südantillen-Bogen' und seine Beziehungen; Kühn, Franz *1876-1945* ; ID: gnd/101808437; Berlin; Seiten 250-262; nan; nan; nan; nan; nan; 8'@Kart. R 28130; 1:KTA; nan
1774680769; 3993859677; 1913; Stand der Südpolarforschung Februar 1913 : mit den Routen der Expeditionen von Filchner und Scott; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26832; 1:KTA; nan
104761698X; 1846580633; 1901; Karte eines Teils der Küstenlinie von Süd-Victoria-Land : Gesellschaft für Erdkunde, Sitzung v. 2. Februar 1901; Borchgrevink, Carsten E. *1864-1934* ; ID: gnd/131730703; Berlin : Gesellschaft für Erdkunde; 1 Karte; nan; nan; nan; nan; nan; Kart. R 28452; 1:KTA; nan
1183496974; 3838676025; 1899; Süd-Polar-Karte; nan; Wien : Hölzel; 1 Karte auf 4 Blättern; nan; 106394169: Antarktis ; ID: gnd/4002208-0; nan; nan; nan; Kart. R 26822; 1:KTA; nan
1183496974; 3838676033; 1899; Süd-Polar-Karte; nan; Wien : Hölzel; 1 Karte auf 4 Blättern; nan; 106394169: Antarktis ; ID: gnd/4002208-0; Revision IIIC 2021; nan; nan; Kart. R 26822<a>; 4:KTA; nan
1725663333; 3730937499; 1897; Die Gebiete um den Südpol; nan; Glogau : Carl Flemming; 1 Karte; nan; nan; nan; nan; nan; 8'@Kart. R 26824; 1:KTA; nan
43420885X; 401602842; 1895; Originalkarte des Dirck Gherritz-Archipels : zur Veranschaulichung der wissenschaftlichen Ergebnisse der im Auftrage der Dampfschiffgesellschaft 'Oceana' in Hamburg 1893-94 ausgeführten Reisen des Dampfschiffes Jason, Capt. C.A. Larsen; nan; Hamburg : Friederichsen; 1 Karte; nan; nan; nan; nan; nan; Kart. R 27740; 1:KTA; nan
1750952262; 3884049674; 1872; Südpolarkarte : nach dem gegenwärtigen Stande des geographischen und physikalischen Wissens; Neumayer, Georg$cvon *1826-1909* ; ID: gnd/118738674; Berlin : D. Reimer; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26812; 1:KTA; nan
1750952262; 3884049682; 1872; Südpolarkarte : nach dem gegenwärtigen Stande des geographischen und physikalischen Wissens; Neumayer, Georg$cvon *1826-1909* ; ID: gnd/118738674; Berlin : D. Reimer; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26812<a>; 1:KTA; nan
1750952262; 3884049690; 1872; Südpolarkarte : nach dem gegenwärtigen Stande des geographischen und physikalischen Wissens; Neumayer, Georg$cvon *1826-1909* ; ID: gnd/118738674; Berlin : D. Reimer; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26812<b>; 1:KTA; nan
169931442X; 3681808198; 1871; Karte zu Dr. G. Neumayer's Projekt der Erforschung der Antarktischen Regionen; nan; Hamburg : L. Friederichsen & Co.; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26810; 1:KTA; nan
1757154280; 3923383924; 1865; Süd-Polar-Karte; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26801; 1:KTA; nan
1757154256; 3923383843; 1864; Süd-Polar-Karte; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; nan; nan; nan; Kart. R 26800; 1:KTA; nan
338205306; 535058810; 1858; Die Insel S[aint] Paul im Indischen Ozean; nan; [Wien] : K.K. Hof- und Staatsdr.; 1 Kt; nan; nan; nan; nan; nan; Kart. R 28050; 1:KTA; nan
1758166711; 3929648385; 1823; Der Polartheil der südlichen Hemisphäre; nan; [Deutschland?] : [Verlag nicht ermittelbar]; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. R 26720; 4:KTA; nan
